Year,Clark County,Las Vegas,Henderson,North Las Vegas,Boulder City,Actual Unincorporated Clark County,Annual Visitor Volume Estimated,Actual Average Daily Visitors,Room Inventory,Total Actual Unincorporated Clark County
1950,48289,24624,5717,3875,3903,10170,2233800,6120,5100,16290
1951,56600,28675,6243,5312,3920,11689,2452800,6720,5600,18409
1952,64777,32824,7040,6775,3932,13206,2671800,7320,6100,20526
1953,74062,36719,7565,8291,3947,14822,2890800,7920,6600,22742
1954,82216,40442,8197,9612,3965,16412,3109800,8520,7100,24932
1955,89863,44328,8728,11055,3977,17866,3328800,9120,7600,26986
1956,99230,48311,9249,12505,3994,19766,3547800,9720,8100,29486
1957,107874,52612,9812,13908,4009,21242,3766800,10320,8600,31562
1958,116411,56641,10586,15430,4022,22671,3985800,10920,9100,33591
1959,125850,60427,11377,16833,4039,24111,4204800,11520,9600,35631
1960,127016,64405,12525,18422,4059,27605,4423800,12120,10100,39725
1961,131970,71697,12982,20201,4162,33407,4642800,12720,10600,46127
1962,152165,79216,13345,21841,4278,39846,4861800,13320,11100,53166
1963,177314,88825,13829,23470,4406,45939,5080800,13920,11600,59859
1964,197637,100692,14280,25081,4514,51739,5299800,14520,12100,66259
1965,211228,107616,14697,26987,4628,57536,5518800,15120,12600,72656
1966,221770,112987,15164,28876,4729,63925,5737800,15720,13100,79645
1967,226088,115187,15549,30666,4838,70197,5956800,16320,13600,86517
1968,237520,118617,15981,32322,4939,75916,6175800,16920,14100,92836
1969,249586,122150,16308,33927,5042,82148,6394800,17520,14600,99668
1970,273288,125787,16395,36216,5223,89667,6787650,18596,25430,108263
1971,295000,129171,17186,36823,5590,102601,7361783,20169,26044,122770
1972,316500,132155,17840,37295,6048,117442,7954748,21734,26619,139176
1973,331700,135355,18675,37912,6535,132101,8474727,23218,29198,155319
1974,350520,146960,19358,38464,6959,145631,8664751,23739,32826,169370
1975,374015,149750,20192,39040,7452,158037,9151427,25072,35190,183109
1976,398584,153617,20897,39496,7828,169690,9769354,26692,36245,196382
1977,413814,157000,21732,40059,8248,182152,10137021,27773,39350,209925
1978,430095,161021,22413,40541,8649,195652,11178111,30625,42620,226277
1979,446802,162000,23156,41151,9045,208003,11696073,32044,45035,240047
1980,463087,164674,24363,42739,9590,221721,11941524,32627,45815,254348
